ticker,nome,setor,segmento,classificacao_setor,preco,market_cap,dividend_yield,dividend_rate,p_vpa,p_l,anos_listed,anos_com_dividendos,score
PETR4,PETROBRAS   PN      N2,Energy,Oil & Gas Integrated,PERENE,39.28,527827173376,11.81,4.64,1.2,7.06,20.0,18,71.9
ENGI3,ENERGISA    ON      N2,Utilities,Utilities - Regulated Electric,PERENE,12.9,32438272000,5.04,0.65,0.27,9.85,20.0,18,67.7
KLBN4,KLABIN S/A  PN      N2,Basic Materials,Paper & Paper Products,PERENE,4.13,25336952832,7.99,0.33,0.64,17.96,20.0,16,66.0
KLBN3,KLABIN S/A  ON      N2,Basic Materials,Paper & Paper Products,PERENE,4.16,25520996352,7.93,0.33,0.65,18.09,20.0,18,65.9
CSNA3,SID NACIONALON  ATZ,Basic Materials,Steel,PERENE,8.64,11457452032,14.7,1.27,0.81,,20.0,14,65.0
PETR3,PETROBRAS   ON      N2,Energy,Oil & Gas Integrated,PERENE,42.49,547642277888,10.92,4.64,1.29,7.64,20.0,14,60.8
ENGI11,ENERGISA    UNT     N2,Utilities,Utilities - Regulated Electric,PERENE,54.78,25041606656,5.97,3.27,1.13,39.7,20.0,16,48.0
SANB11,SANTANDER BRUNT,Financial Services,Banks - Regional,PERENE,34.85,164506681344,5.08,1.77,1.36,17.03,20.0,17,47.6
EQTL3,EQUATORIAL  ON      NM,Utilities,Utilities - Regulated Electric,PERENE,42.73,53764628480,5.55,2.37,1.88,16.5,20.0,18,40.9
