ticker,nome,setor,segmento,classificacao_setor,preco,market_cap,dividend_yield,dividend_rate,p_vpa,p_l,anos_listed,anos_com_dividendos,score
PETR4,PETROBRAS   PN      N2,Energy,Oil & Gas Integrated,PERENE,39.37,529036541952,11.79,4.64,1.2,7.08,20.0,18,71.9
ENGI3,ENERGISA    ON      N2,Utilities,Utilities - Regulated Electric,PERENE,12.9,32438272000,5.04,0.65,0.27,9.85,20.0,18,67.7
KLBN4,KLABIN S/A  PN      N2,Basic Materials,Paper & Paper Products,PERENE,4.11,25214255104,8.03,0.33,0.64,17.87,20.0,16,66.1
KLBN3,KLABIN S/A  ON      N2,Basic Materials,Paper & Paper Products,PERENE,4.12,25275602944,8.01,0.33,0.64,17.91,20.0,18,66.1
CSNA3,SID NACIONALON  ATZ,Basic Materials,Steel,PERENE,8.62,11430929408,14.73,1.27,0.81,,20.0,14,65.0
PETR3,PETROBRAS   ON      N2,Energy,Oil & Gas Integrated,PERENE,42.55,548415569920,10.9,4.64,1.3,7.65,20.0,14,60.8
ENGI11,ENERGISA    UNT     N2,Utilities,Utilities - Regulated Electric,PERENE,54.64,24977608704,5.98,3.27,1.13,39.59,20.0,16,48.0
SANB11,SANTANDER BRUNT,Financial Services,Banks - Regional,PERENE,34.93,164884316160,5.07,1.77,1.36,17.07,20.0,17,47.6
EQTL3,EQUATORIAL  ON      NM,Utilities,Utilities - Regulated Electric,PERENE,42.64,53651386368,5.56,2.37,1.87,16.46,20.0,18,41.0
