ticker,nome,setor,segmento,classificacao_setor,preco,market_cap,dividend_yield,dividend_rate,p_vpa,p_l,anos_listed,anos_com_dividendos,score
ENGI3,ENERGISA    ON      N2,Utilities,Utilities - Regulated Electric,PERENE,12.9,32438272000,5.04,0.65,0.27,9.85,20.0,18,67.7
KLBN4,KLABIN S/A  PN      N2,Basic Materials,Paper & Paper Products,PERENE,4.12,25275602944,8.01,0.33,0.64,17.91,20.0,16,66.1
KLBN3,KLABIN S/A  ON      N2,Basic Materials,Paper & Paper Products,PERENE,4.12,25275602944,8.01,0.33,0.64,17.91,20.0,18,66.1
CSNA3,SID NACIONALON  ATZ,Basic Materials,Steel,PERENE,8.63,11444191232,14.72,1.27,0.81,,20.0,14,65.0
PETR4,PETROBRAS   PN      N2,Energy,Oil & Gas Integrated,PERENE,39.39,529305305088,11.78,4.64,1.2,7.08,20.0,18,61.9
PETR3,PETROBRAS   ON      N2,Energy,Oil & Gas Integrated,PERENE,42.62,549317771264,10.89,4.64,1.3,7.67,20.0,14,60.8
ENGI11,ENERGISA    UNT     N2,Utilities,Utilities - Regulated Electric,PERENE,54.61,24963895296,5.99,3.27,1.13,39.57,20.0,16,48.0
SANB11,SANTANDER BRUNT,Financial Services,Banks - Regional,PERENE,34.88,164648304640,5.07,1.77,1.36,17.05,20.0,17,47.6
EQTL3,EQUATORIAL  ON      NM,Utilities,Utilities - Regulated Electric,PERENE,42.63,53638803456,5.56,2.37,1.87,16.46,20.0,18,41.0
