ticker,nome,setor,segmento,classificacao_setor,preco,market_cap,dividend_yield,dividend_rate,p_vpa,p_l,anos_listed,anos_com_dividendos,score
ENGI3,ENERGISA    ON      N2,Utilities,Utilities - Regulated Electric,PERENE,12.78,32136521728,5.09,0.65,0.26,9.76,20.0,18,67.7
KLBN4,KLABIN S/A  PN      N2,Basic Materials,Paper & Paper Products,PERENE,4.11,25214255104,8.03,0.33,0.64,17.87,20.0,16,66.1
KLBN3,KLABIN S/A  ON      N2,Basic Materials,Paper & Paper Products,PERENE,4.11,25214255104,8.03,0.33,0.64,17.87,20.0,18,66.1
CSNA3,SID NACIONALON  ATZ,Basic Materials,Steel,PERENE,8.62,11430929408,14.73,1.27,0.81,,20.0,14,65.0
PETR4,PETROBRAS   PN      N2,Energy,Oil & Gas Integrated,PERENE,39.57,531724075008,11.73,4.64,1.21,7.09,20.0,18,61.8
PETR3,PETROBRAS   ON      N2,Energy,Oil & Gas Integrated,PERENE,42.81,551766654976,10.84,4.64,1.3,7.67,20.0,14,60.7
ENGI11,ENERGISA    UNT     N2,Utilities,Utilities - Regulated Electric,PERENE,54.29,24817612800,6.02,3.27,1.12,39.34,20.0,16,48.0
SANB11,SANTANDER BRUNT,Financial Services,Banks - Regional,PERENE,34.55,163090563072,5.12,1.77,1.35,16.89,20.0,17,47.7
EQTL3,EQUATORIAL  ON      NM,Utilities,Utilities - Regulated Electric,PERENE,42.25,53160673280,5.61,2.37,1.86,16.31,20.0,18,41.1
